Designator,Mid X,Mid Y,Layer,Rotation
R63,142.5575,-108.7750,bottom,90.00
R64,161.6075,-108.7750,bottom,90.00
R65,180.6575,-108.7750,bottom,90.00
R66,199.7075,-108.7750,bottom,90.00
R67,218.7575,-108.7750,bottom,90.00
R68,237.8075,-108.7750,bottom,90.00
R69,256.8575,-108.7750,bottom,90.00
R7,175.8950,-42.1000,bottom,90.00
R70,275.9075,-108.7750,bottom,90.00
R71,297.3388,-99.2500,bottom,90.00
R72,385.4450,-108.7750,bottom,90.00
R73,404.4950,-108.7750,bottom,90.00
R74,423.5450,-108.7750,bottom,90.00
R75,35.4012,-127.8250,bottom,90.00
R76,56.8325,-127.8250,bottom,90.00
R77,75.8825,-127.8250,bottom,90.00
R78,94.9325,-127.8250,bottom,90.00
R79,113.9825,-127.8250,bottom,90.00
R8,194.9450,-42.1000,bottom,90.00
R80,133.0325,-127.8250,bottom,90.00
R81,152.0825,-127.8250,bottom,90.00
R82,171.1325,-127.8250,bottom,90.00
R83,190.1825,-127.8250,bottom,90.00
R84,209.2325,-127.8250,bottom,90.00
R85,228.2825,-127.8250,bottom,90.00
R86,247.3325,-127.8250,bottom,90.00
R87,283.0512,-127.8250,bottom,90.00
R88,342.5825,-127.8250,bottom,90.00
R89,385.4450,-127.8250,bottom,90.00
R9,213.9950,-42.1000,bottom,90.00
R90,404.4950,-127.8250,bottom,90.00
R91,423.5450,-127.8250,bottom,90.00
R92,442.5950,-137.3500,bottom,90.00
R93,35.4012,-146.8750,bottom,90.00
R94,59.2137,-146.8750,bottom,90.00
R95,83.0263,-146.8750,bottom,90.00
R96,154.4637,-146.8750,bottom,90.00
R97,225.9012,-146.8750,bottom,90.00
R98,249.7137,-146.8750,bottom,90.00
R99,273.5263,-146.8750,bottom,90.00
SW201,115.6000,-54.3000,bottom,0.00
SW202,124.4000,-54.3000,bottom,0.00
U1,148.0000,-54.5000,bottom,270.00
U2,137.4000,-54.3000,bottom,0.00
U3,183.0000,-54.3000,bottom,0.00
U4,147.6400,-39.3000,bottom,0.00
Y1,155.8000,-53.7500,bottom,0.00
